outcode,pct_private_rented,pct_students,pct_employed
GU29,18.1,15.4,55.0
GU3,21.7,16.3,65.1
GU30,12.0,19.7,59.8
GU31,15.4,19.2,56.5
GU32,18.9,18.2,60.6
GU33,13.5,17.4,56.8
GU34,14.9,15.9,58.4
GU35,8.7,14.9,54.2
GU4,18.8,23.1,65.6
GU46,9.6,16.1,59.5
GU47,17.6,17.3,66.1
GU5,11.0,21.8,57.3
GU51,10.2,19.1,60.6
GU52,6.1,18.8,56.9
GU6,12.2,20.4,55.6
GU7,15.3,16.8,64.7
GU8,14.3,20.6,61.4
GU9,25.0,24.9,53.6
HA0,43.9,22.9,60.6
HA1,36.6,21.4,65.5
HA2,35.9,22.9,60.0
HA3,38.1,25.5,59.1
HA4,25.2,19.6,66.8
HA5,27.4,21.2,61.1
HA6,19.3,18.2,57.8
HA7,21.3,23.0,56.4
HA8,29.8,19.6,62.0
HA9,57.6,33.1,59.5
HD1,35.3,28.8,52.8
HD2,13.0,19.0,55.7
HD3,21.5,19.0,62.8
HD4,14.5,15.5,53.1
HD5,16.8,19.6,55.8
HD6,19.8,18.1,60.6
HD7,17.1,19.0,59.0
HD8,13.8,25.6,51.1
HD9,13.9,18.5,57.8
HG1,45.5,12.0,63.4
HG2,10.0,18.8,59.5
HG3,9.8,18.4,56.6
HG4,17.9,16.1,57.5
HG5,9.7,16.1,54.1
HP1,16.9,18.4,66.2
HP10,15.9,18.6,66.4
HP11,25.3,18.5,70.9
HP12,22.9,20.4,69.2
HP13,27.2,23.0,64.9
HP14,9.9,17.3,60.5
HP15,8.9,20.1,59.9
HP16,10.6,19.1,59.4
HP17,11.2,17.0,60.7
HP18,9.7,19.0,60.6
HP19,25.7,18.5,72.7
HP2,22.7,18.9,66.1
HP20,33.7,16.6,66.9
HP21,16.9,20.3,67.1
HP22,8.2,18.4,64.5
HP23,15.3,20.2,61.6
HP27,19.1,15.9,65.9
HP3,12.8,21.6,66.5
HP4,8.3,22.9,62.5
HP5,21.3,17.0,65.0
HP6,15.4,22.2,58.9
HP7,10.8,22.7,60.1
HP8,9.5,20.5,59.3
HP9,9.1,19.3,56.7
HR1,17.3,15.7,56.3
HR2,12.6,22.1,61.0
HR3,19.1,14.7,56.8
HR4,17.4,16.1,55.4
HR5,22.1,13.6,54.0
HR6,26.5,15.3,55.6
HR7,17.4,13.8,54.4
HR8,17.3,15.7,56.3
HR9,14.9,14.0,54.6
HU1,39.1,16.9,58.8
HU10,7.1,16.3,53.2
HU11,12.0,16.0,54.8
HU12,12.2,17.2,56.0
HU13,21.6,17.4,62.5
HU14,9.9,17.8,54.8
HU15,15.9,20.7,65.3
HU16,14.4,13.4,48.1
HU17,18.6,16.2,57.6
HU18,17.7,14.4,43.2
HU19,21.8,16.0,45.8
HU2,39.1,16.9,58.8
HU20,10.7,16.3,57.2
HU3,35.5,19.5,67.6
HU4,16.1,17.2,60.4
HU5,58.5,26.4,57.3
HU6,9.8,29.7,51.2
HU7,15.8,14.9,56.9
HU8,36.6,16.9,60.2
HU9,36.6,16.9,60.2
HX1,24.4,19.2,58.8
HX2,33.7,30.2,49.9
HX3,14.3,16.1,59.3
HX4,17.3,18.5,61.4
HX5,12.3,18.8,56.7
HX6,15.0,19.6,59.3
HX7,17.1,16.7,55.9
IG1,45.7,29.5,56.0
IG10,19.8,14.9,58.1
IG11,24.3,28.8,62.9
IG2,32.4,23.9,58.0
IG3,46.6,26.7,57.2
IG4,21.5,25.2,58.3
IG5,14.7,24.6,57.7
IG6,19.6,22.5,62.9
IG7,13.5,18.9,60.1
IG8,12.8,21.0,61.1
IG9,19.5,18.3,65.7
IP1,8.4,20.2,56.6
IP10,10.0,16.3,56.9
IP11,10.5,12.0,44.7
IP12,17.6,19.9,59.9
IP13,9.7,17.0,54.5
IP14,14.3,16.8,58.0
IP15,18.9,13.2,49.7
IP16,14.4,15.3,51.3
IP17,15.1,11.9,48.4
IP18,13.9,12.5,46.0
IP19,15.1,11.9,48.4
IP2,9.3,19.8,54.3
IP20,16.3,15.5,54.2
IP21,12.4,15.2,51.9
IP22,12.7,15.0,54.4
